AgentId,Start,Seed,Floor,Reward,Steps,Time
24,0,52,2,2.4,1001,15566.786144400001
35,0,56,2,2.6,1201,15554.8076391
16,0,64,2,2.5,1001,15573.237512
44,0,81,1,1.1,801,15547.360130000001
2,0,54,1,1.0,801,15588.5374922
37,0,10,2,2.6,1201,15550.0181258
14,0,37,1,1.1,801,15572.0649259
4,0,16,1,1.0,801,15580.317793999999
19,0,54,1,1.0,801,15562.263408899998
5,0,46,1,1.2,740,15570.4308045
43,0,40,1,1.2,801,15529.0279947
41,0,54,1,1.1,801,15529.9961794
0,0,43,1,1.2,801,15569.130411799999
29,0,54,1,1.0,801,15537.365319699999
49,0,88,1,1.2,801,15514.998296799999
9,0,7,2,2.6,1001,15552.606141299999
7,0,30,1,1.0,801,15550.927413899999
3,0,98,1,1.0,801,15551.812084599998
39,0,68,2,2.6,1001,15513.0233209
28,0,83,1,1.2,801,15523.127026799999
48,0,22,1,1.1,801,15502.8261623
6,0,22,2,2.4,1101,15542.61242
47,0,49,1,1.0,801,15500.4443794
46,0,52,2,2.4,1001,15500.0304502
38,0,54,1,1.0,801,15507.6802391
36,0,89,1,1.1,801,15508.958824599998
25,0,77,2,2.2,1001,15521.9253995
26,0,85,0,0.0,601,15517.2334168
33,0,65,1,1.2,801,15509.7328494
27,0,56,2,2.6,1101,15514.6241015
1,0,70,1,1.1,801,15539.2330957
31,0,69,1,1.0,801,15508.128529799998
11,0,74,1,1.2,801,15531.5170545
20,0,98,1,1.1,801,15518.420459699999
40,0,25,0,0.0,601,15497.263721899999
15,0,13,1,1.0,801,15519.4481549
21,0,80,1,1.2,801,15512.9251474
42,0,45,2,2.4,1001,15493.947297699999
45,0,30,1,1.0,801,15487.417464
34,0,10,1,1.2,801,15502.1328282
17,0,94,0,0.0,601,15515.5256553
8,0,62,3,4.0,1201,15521.875391599999
12,0,62,1,1.2,801,15520.832142399999
10,0,89,1,1.2,801,15520.167628199999
30,0,90,1,1.1,801,15497.3439411
44,0,42,1,1.1,801,15481.9807229
2,0,56,2,2.5,1101,15523.1225268
14,0,42,1,1.0,801,15506.8636336
4,0,14,1,1.2,801,15514.358429099999
13,0,85,0,0.0,601,15504.0384407
19,0,2,1,1.2,801,15496.9546392
5,0,22,1,1.0,801,15509.0694259
18,0,28,2,2.3,1001,15494.3452308
22,0,50,1,1.2,801,15487.6241096
24,0,37,1,1.1,801,15484.656711200001
16,0,64,2,2.5,1001,15491.2553594
43,0,47,1,1.2,801,15463.0136892
41,0,92,0,0.0,601,15464.0445843
23,0,48,1,1.2,801,15485.624049799999
0,0,14,3,3.7,1301,15502.7587126
29,0,60,1,1.2,801,15471.0594451
49,0,77,2,2.3,1001,15448.524956599998
32,0,41,3,3.8,1201,15463.623435799998
26,0,72,1,1.2,801,15467.4919596
35,0,19,2,2.6,1001,15457.201744299999
37,0,27,2,2.4,1001,15452.2748753
40,0,2,2,2.3,1001,15448.403337799999
7,0,17,2,2.4,1001,15483.708790199998
3,0,95,0,0.0,601,15485.3451398
28,0,7,1,1.2,801,15456.8673312
48,0,6,0,0.0,601,15436.6001093
17,0,18,1,1.2,801,15466.8272607
47,0,53,1,1.2,801,15434.296831099999
9,0,62,1,1.2,801,15471.2831436
38,0,19,2,2.4,1001,15441.5426417
36,0,53,1,1.2,801,15442.1008969
33,0,32,0,0.0,601,15443.3298882
1,0,94,0,0.0,601,15473.8692244
31,0,93,1,1.1,801,15442.770485
11,0,14,1,1.2,801,15466.156019499998
20,0,4,2,2.3,1101,15453.025668299999
39,0,87,1,1.0,801,15430.7334725
15,0,13,1,1.1,801,15453.370081899999
13,0,15,1,1.2,801,15455.0212863
21,0,21,2,2.5,938,15446.5932112
45,0,58,2,2.5,1101,15421.368450299999
34,0,55,0,0.0,601,15436.088766899999
12,0,40,1,1.2,801,15455.9999204
10,0,26,3,3.6,1201,15455.297729299999
30,0,36,1,1.1,801,15432.5196487
46,0,75,0,0.0,601,15416.280684399999
25,0,64,1,1.2,801,15438.5767643
44,0,91,1,1.1,801,15416.709413
6,0,88,2,2.6,1001,15450.584994699999
41,0,47,1,1.0,801,15414.3418024
14,0,44,1,1.2,801,15440.635801
4,0,99,1,1.2,801,15449.0136198
42,0,69,1,1.0,801,15411.706899199999
27,0,74,1,1.2,801,15424.163178499999
19,0,76,2,2.6,1001,15431.4144258
5,0,1,1,1.0,801,15443.558741899998
22,0,66,2,2.4,1001,15422.3191213
24,0,75,0,0.0,601,15419.2147215
43,0,8,1,1.0,801,15397.8034682
23,0,67,1,1.1,801,15420.673939799999
3,0,29,1,1.2,801,15435.8781926
48,0,13,1,1.1,801,15387.3388353
29,0,83,2,2.4,1101,15405.3688905
8,0,4,1,1.2,801,15424.7385308
2,0,56,2,2.5,1001,15433.25298
18,0,57,1,1.2,801,15412.6764229
26,0,37,1,1.0,801,15402.2101571
33,0,4,2,2.3,1201,15394.7187246
16,0,40,1,1.2,801,15409.582198
1,0,37,1,1.1,801,15424.2404211
28,0,6,2,2.6,1001,15392.0834342
34,0,97,2,2.4,1201,15388.6799677
17,0,16,1,1.0,801,15402.049603599999
49,0,11,2,2.4,1001,15367.3046112
47,0,59,1,1.1,801,15368.5224043
9,0,67,1,1.1,801,15405.5248237
46,0,48,2,2.4,1101,15367.952360399999
36,0,77,2,2.3,1001,15377.074332099999
35,0,76,2,2.5,1101,15375.476673399999
31,0,38,3,3.8,1301,15377.8522567
